[2025-03-17 19:19:28.951] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":55}
[2025-03-17 19:19:28.951] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":55}
[2025-03-17 19:19:28.953] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":67}
[2025-03-17 19:19:28.953] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":67}
[2025-03-17 19:19:28.953] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":82}
[2025-03-17 19:19:28.953] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":82}
[2025-03-17 19:19:28.955] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":88}
[2025-03-17 19:19:28.955] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":88}
[2025-03-17 19:19:28.955] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":95}
[2025-03-17 19:19:28.956] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":95}
[2025-03-17 19:19:28.960] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":96}
[2025-03-17 19:19:28.961] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":96}
[2025-03-17 19:19:28.967] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":98}
[2025-03-17 19:19:28.967] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":98}
[2025-03-17 19:19:28.970] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2025-03-17 19:19:28.970] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2025-03-17 19:19:28.970] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2025-03-17 19:19:28.971] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2025-03-17 19:19:29.449] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2025-03-17 19:19:29.450] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2025-03-17 19:19:29.464] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2025-03-17 19:19:29.465] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2025-03-17 19:19:29.474] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2025-03-17 19:19:29.475] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2025-03-17 19:19:29.479] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-03-17 19:19:29.479] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-03-17 19:19:29.487] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-03-17 19:19:29.487] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-03-17 19:19:29.490] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2025-03-17 19:19:29.490] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2025-03-17 19:19:29.497] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2025-03-17 19:19:29.497] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2025-03-17 19:19:29.497] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2025-03-17 19:19:29.498] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2025-03-17 19:19:29.506] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2025-03-17 19:19:29.506] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2025-03-17 19:19:29.506] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":10}
[2025-03-17 19:19:29.506] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":10}
[2025-03-17 19:19:29.510] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":11}
[2025-03-17 19:19:29.510] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":11}
[2025-03-17 19:19:29.513] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":12}
[2025-03-17 19:19:29.514] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":12}
[2025-03-17 19:19:29.516] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":13}
[2025-03-17 19:19:29.517] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":13}
[2025-03-17 19:19:29.520] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":14}
[2025-03-17 19:19:29.520] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":14}
[2025-03-17 19:19:29.521] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":15}
[2025-03-17 19:19:29.522] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":15}
[2025-03-17 19:19:29.524] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":16}
[2025-03-17 19:19:29.524] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":16}
[2025-03-17 19:19:29.526] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":17}
[2025-03-17 19:19:29.526] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":17}
[2025-03-17 19:19:29.530] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":18}
[2025-03-17 19:19:29.530] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":18}
[2025-03-17 19:19:29.535] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":19}
[2025-03-17 19:19:29.535] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":19}
[2025-03-17 19:19:29.535] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":20}
[2025-03-17 19:19:29.535] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":20}
[2025-03-17 19:19:29.541] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":21}
[2025-03-17 19:19:29.541] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":21}
[2025-03-17 19:19:29.541] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":22}
[2025-03-17 19:19:29.542] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":22}
[2025-03-17 19:19:29.547] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":23}
[2025-03-17 19:19:29.547] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":23}
[2025-03-17 19:19:29.549] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":25}
[2025-03-17 19:19:29.549] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":25}
[2025-03-17 19:19:29.549] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":27}
[2025-03-17 19:19:29.550] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":27}
[2025-03-17 19:19:29.550] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":28}
[2025-03-17 19:19:29.550] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":28}
[2025-03-17 19:19:29.554] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":29}
[2025-03-17 19:19:29.554] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":29}
[2025-03-17 19:19:29.558] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":30}
[2025-03-17 19:19:29.558] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":30}
[2025-03-17 19:19:29.559] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":31}
[2025-03-17 19:19:29.559] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":31}
[2025-03-17 19:19:29.562] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":32}
[2025-03-17 19:19:29.563] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":32}
[2025-03-17 19:19:29.563] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":33}
[2025-03-17 19:19:29.563] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":33}
[2025-03-17 19:19:29.563] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":34}
[2025-03-17 19:19:29.563] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":34}
[2025-03-17 19:19:29.570] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":35}
[2025-03-17 19:19:29.570] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":35}
[2025-03-17 19:19:29.570] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":36}
[2025-03-17 19:19:29.570] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":36}
[2025-03-17 19:19:29.571] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":37}
[2025-03-17 19:19:29.572] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":37}
[2025-03-17 19:19:29.574] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":38}
[2025-03-17 19:19:29.574] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":38}
